"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.039,0.0314289321768618,0.0165170963199983,0.0614829036800017,2
3,0.079,0.0392852813828962,0.0508970026597444,0.107102997340256,2
4,0.078,0.103258037082942,0.00413365007574246,0.151866349924258,2
5,0.092,0.0534997403939703,0.0537285912415356,0.130271408758464,2
6,0.099,0.119577961551821,0.0134590794020099,0.18454092059799,2
7,0.091,0.102896927931682,0.0173919720009054,0.164608027999095,2
8,0.066,0.0818127944354264,0.00747465250385938,0.124525347496141,2
9,0.091,0.0971196284085881,0.0215248031126118,0.160475196887388,2
1,0,0,0,0,4
2,0.029,0.0288482620312251,0.00836319653071183,0.0496368034692882,4
3,0.062,0.0761285462593077,0.00754091869189701,0.116459081308103,4
4,0.1,0.0567646212197547,0.0593930361956396,0.14060696380436,4
5,0.133,0.147727226107219,0.0273223086043112,0.238677691395689,4
6,0.106,0.0823542483556387,0.0470873197027706,0.164912680297229,4
7,0.092,0.0748034461475911,0.038488838207916,0.145511161792084,4
8,0.173,0.0671730766172149,0.124947275746579,0.221052724253421,4
9,0.134,0.0805812219647564,0.0763556663759565,0.191644333624043,4
1,0,0,0,0,8
2,0.025,0.0330823887354653,0.00133428475207874,0.0486657152479213,8
3,0.098,0.0633859430613585,0.0526564278895939,0.143343572110406,8
4,0.069,0.0696738433305099,0.0191583350080016,0.118841664991998,8
5,0.132,0.0764198926981712,0.0773325020048261,0.186667497995174,8
6,0.141,0.0921894185299424,0.0750516627971858,0.206948337202814,8
7,0.23,0.131824799555235,0.135698219259964,0.324301780740036,8
8,0.149,0.070308842497465,0.0987040839686347,0.199295916031365,8
9,0.216,0.0985675177508065,0.145489045472574,0.286510954527425,8
1,0,0,0,0,16
2,0.069,0.0435762422529627,0.0378274341680925,0.100172565831908,16
3,0.121,0.0653962282296668,0.0742183565114741,0.167781643488526,16
4,0.181,0.111699000293945,0.101095348749707,0.260904651250293,16
5,0.226,0.115777564512493,0.143177719669524,0.308822280330476,16
6,0.291,0.106921570425346,0.214512916199,0.367487083801,16
7,0.282,0.0899135387160601,0.217679729139206,0.346320270860794,16
8,0.28,0.080691456246068,0.222276809521545,0.337723190478454,16
9,0.289,0.0775241897732572,0.23354253546592,0.34445746453408,16
1,0,0,0,0,32
2,0.115,0.108243552540863,0.0375672271630949,0.192432772836905,32
3,0.128,0.0928319868244657,0.0615919971301407,0.194408002869859,32
4,0.165,0.0748702581507207,0.111441043780076,0.218558956219924,32
5,0.258,0.0988601706114921,0.187279694227631,0.328720305772369,32
6,0.295,0.0934820244158677,0.228126988249991,0.361873011750009,32
7,0.303,0.111060544048931,0.223552072833738,0.382447927166262,32
8,0.317,0.0815202769595121,0.258683906900372,0.375316093099628,32
9,0.326,0.0968618718703197,0.256709191032321,0.395290808967679,32
1,0,0,0,0,64
2,0.109,0.0788035532193822,0.0526273339894882,0.165372666010512,64
3,0.152,0.102176318195558,0.0789074651521512,0.225092534847849,64
4,0.215,0.0834332734052255,0.155315431681833,0.274684568318167,64
5,0.293,0.0985506074168101,0.222501142396781,0.363498857603219,64
6,0.324,0.092520268049763,0.257814987308345,0.390185012691655,64
7,0.31,0.0798609903380729,0.252870889044003,0.367129110955997,64
8,0.407,0.0871843512971859,0.344632072206986,0.469367927793014,64
9,0.378,0.0518116246072679,0.340936196527631,0.415063803472369,64
