"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.0809016666666667,0.0394004763507583,0.039553402555302,0.122249930778031
3,0.167243333333333,0.0717883128835514,0.0919061192653305,0.242580547401336
4,0.214898333333333,0.114236996882213,0.0950139574104529,0.334782709256214
5,0.260518333333333,0.128861228058197,0.125286768008297,0.39574989865837
6,0.301351666666667,0.149225002116491,0.144749631082068,0.457953702251266
7,0.3279,0.162806188088782,0.157045383824023,0.498754616175977
8,0.346711666666667,0.178458343533349,0.15943112072597,0.533992212607364
9,0.365991666666667,0.1869725310752,0.169776028874792,0.562207304458541
