"rep","rep_seed","has_drop","drop_from_index","drop_to_index","drop_size","delta_before","delta_after"
375,377,TRUE,19,20,0.05125,0.452261306532663,0.477386934673367
376,378,FALSE,NA,NA,NA,NA,NA
377,379,FALSE,NA,NA,NA,NA,NA
378,380,FALSE,NA,NA,NA,NA,NA
379,381,FALSE,NA,NA,NA,NA,NA
380,382,FALSE,NA,NA,NA,NA,NA
381,383,FALSE,NA,NA,NA,NA,NA
382,384,FALSE,NA,NA,NA,NA,NA
383,385,FALSE,NA,NA,NA,NA,NA
384,386,FALSE,NA,NA,NA,NA,NA
385,387,TRUE,4,5,0.0525,0.0753768844221106,0.100502512562814
386,388,FALSE,NA,NA,NA,NA,NA
387,389,FALSE,NA,NA,NA,NA,NA
388,390,FALSE,NA,NA,NA,NA,NA
389,391,FALSE,NA,NA,NA,NA,NA
390,392,FALSE,NA,NA,NA,NA,NA
391,393,FALSE,NA,NA,NA,NA,NA
392,394,FALSE,NA,NA,NA,NA,NA
393,395,FALSE,NA,NA,NA,NA,NA
394,396,TRUE,15,16,0.065,0.351758793969849,0.376884422110553
395,397,FALSE,NA,NA,NA,NA,NA
396,398,TRUE,25,26,0.06375,0.603015075376884,0.628140703517588
397,399,FALSE,NA,NA,NA,NA,NA
398,400,FALSE,NA,NA,NA,NA,NA
399,401,FALSE,NA,NA,NA,NA,NA
400,402,FALSE,NA,NA,NA,NA,NA
401,403,FALSE,NA,NA,NA,NA,NA
402,404,FALSE,NA,NA,NA,NA,NA
403,405,FALSE,NA,NA,NA,NA,NA
404,406,FALSE,NA,NA,NA,NA,NA
405,407,TRUE,19,20,0.0725,0.452261306532663,0.477386934673367
406,408,FALSE,NA,NA,NA,NA,NA
407,409,FALSE,NA,NA,NA,NA,NA
408,410,FALSE,NA,NA,NA,NA,NA
409,411,FALSE,NA,NA,NA,NA,NA
410,412,FALSE,NA,NA,NA,NA,NA
411,413,FALSE,NA,NA,NA,NA,NA
412,414,FALSE,NA,NA,NA,NA,NA
413,415,FALSE,NA,NA,NA,NA,NA
414,416,FALSE,NA,NA,NA,NA,NA
415,417,FALSE,NA,NA,NA,NA,NA
416,418,FALSE,NA,NA,NA,NA,NA
417,419,FALSE,NA,NA,NA,NA,NA
418,420,FALSE,NA,NA,NA,NA,NA
419,421,FALSE,NA,NA,NA,NA,NA
420,422,FALSE,NA,NA,NA,NA,NA
421,423,FALSE,NA,NA,NA,NA,NA
422,424,FALSE,NA,NA,NA,NA,NA
423,425,FALSE,NA,NA,NA,NA,NA
424,426,TRUE,25,26,0.1125,0.603015075376884,0.628140703517588
425,427,FALSE,NA,NA,NA,NA,NA
426,428,FALSE,NA,NA,NA,NA,NA
427,429,FALSE,NA,NA,NA,NA,NA
428,430,FALSE,NA,NA,NA,NA,NA
429,431,FALSE,NA,NA,NA,NA,NA
430,432,TRUE,25,26,0.07125,0.603015075376884,0.628140703517588
431,433,FALSE,NA,NA,NA,NA,NA
432,434,FALSE,NA,NA,NA,NA,NA
433,435,FALSE,NA,NA,NA,NA,NA
434,436,FALSE,NA,NA,NA,NA,NA
435,437,FALSE,NA,NA,NA,NA,NA
436,438,FALSE,NA,NA,NA,NA,NA
437,439,FALSE,NA,NA,NA,NA,NA
438,440,FALSE,NA,NA,NA,NA,NA
439,441,FALSE,NA,NA,NA,NA,NA
440,442,FALSE,NA,NA,NA,NA,NA
441,443,TRUE,17,18,0.0525,0.402010050251256,0.42713567839196
442,444,FALSE,NA,NA,NA,NA,NA
443,445,FALSE,NA,NA,NA,NA,NA
