"sigma","dist","dist_over_sigma","mean","sd","lower","upper"
1,0.0841683366733467,0.0841683366733467,0.484565,0.0115478369268206,0.482954788274864,0.486175211725136
1,0.50501002004008,0.50501002004008,0.414595,0.0261091827162505,0.410954377742356,0.418235622257644
1,1.01002004008016,1.01002004008016,0.31032,0.0161465524425152,0.308068550812743,0.312571449187257
1,3.99799599198397,3.99799599198397,0.02307,0.00457710052830732,0.0224317764968009,0.0237082235031991
1,6.10220440881764,6.10220440881764,0.001245,0.00112753343998813,0.00108777855869829,0.00140222144130171
2,0.210420841683367,0.105210420841683,0.48111,0.0120800470896616,0.479425577749562,0.482794422250438
2,1.01002004008016,0.50501002004008,0.41565,0.0274465675513671,0.41182289496154,0.41947710503846
2,2.02004008016032,1.01002004008016,0.30805,0.015981380497725,0.305821582121884,0.310278417878116
2,7.99599198396794,3.99799599198397,0.02262,0.0048345074528392,0.0219458840910942,0.0232941159089058
2,12.2044088176353,6.10220440881764,0.00106,0.000975272156320723,0.00092400962610937,0.00119599037389063
3,0.294589178356713,0.0981963927855711,0.4811,0.0133890377420594,0.479233054207712,0.482966945792288
3,1.51503006012024,0.50501002004008,0.41408,0.0277860382134264,0.410205559720849,0.417954440279151
3,2.98797595190381,0.995991983967936,0.31213,0.0165439296432317,0.309823141177852,0.314436858822148
3,11.9939879759519,3.99799599198397,0.02292,0.00478519492312082,0.022252760150572,0.023587239849428
3,18.3066132264529,6.10220440881764,0.001225,0.00109561712492189,0.00107222891810918,0.00137777108189081
