"sigma","dist","dist_over_sigma","mean","sd","lower","upper"
1,0.0841683366733467,0.0841683366733467,0.477026,0.00229779976663222,0.476824102974438,0.477227897025562
1,0.50501002004008,0.50501002004008,0.417669,0.00562273681926137,0.417174956151702,0.418163043848298
1,6.10220440881764,6.10220440881764,0.001,0,0.001,0.001
2,0.210420841683367,0.105210420841683,0.472454,0.00231009894035482,0.472251022302995,0.472656977697005
2,1.01002004008016,0.50501002004008,0.417483,0.00481285134573595,0.417060117038097,0.417905882961903
2,12.2044088176353,6.10220440881764,0.001,0,0.001,0.001
3,0.294589178356713,0.0981963927855711,0.473794,0.0025660735505698,0.473568530999282,0.474019469000718
3,1.51503006012024,0.50501002004008,0.417582,0.00528849812563546,0.417117324158023,0.418046675841977
3,18.3066132264529,6.10220440881764,0.001,0,0.001,0.001
