"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.078275,0.0385651317902584,0.0378033762420172,0.118746623757983
3,0.155735,0.0647175854772101,0.0878180592722009,0.223651940727799
4,0.208203333333333,0.114179033393468,0.0883797863613544,0.328026880305312
5,0.261006666666667,0.130766203839779,0.123775951863299,0.398237381470034
6,0.300605,0.149341208345185,0.143881013457431,0.457328986542569
7,0.323318333333333,0.164860279196254,0.150308080741582,0.496328585925084
8,0.349055,0.173098920938289,0.167398823139822,0.530711176860178
9,0.366701666666667,0.18394082128953,0.173667613173696,0.559735720159637
