"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.051822,0.022846551424668,-0.00493197997746103,0.108575979977461
3,0.102827111111111,0.0322207612940844,0.0227863028791706,0.182867919343052
4,0.124598222222222,0.0621421997441114,-0.0297715596532466,0.278968004097691
5,0.153924,0.0730755051558166,-0.0276056181627697,0.33545361816277
6,0.173398666666667,0.0855681525283275,-0.0391644079537559,0.385961741287089
7,0.191716666666667,0.0922196704902665,-0.0373696945633934,0.420803027896727
8,0.205211555555556,0.0985894280659462,-0.0396981606829577,0.450121271794069
9,0.218630888888889,0.103836292649821,-0.0393127615308749,0.476574539308653
