"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.02867,0.0235882418063566,0.0239895810749708,0.0333504189250292,2
3,0.0715,0.0116683981399126,0.0691847366612926,0.0738152633387074,2
4,0.08911,0.0207217715985342,0.0849983509527286,0.0932216490472713,2
5,0.10313,0.0268104664471007,0.0978102217995724,0.108449778200428,2
6,0.10523,0.0310876424830111,0.0990615372800351,0.111398462719965,2
7,0.09969,0.0373781373467854,0.0922733666257783,0.107106633374222,2
8,0.09484,0.0447393619204667,0.085962739967425,0.103717260032575,2
9,0.09591,0.0512947700486456,0.085732004774175,0.106087995225825,2
1,0,0,0,0,4
2,0.04984,0.0341975012377965,0.0430544738342067,0.0566255261657933,4
3,0.09881,0.0613120343452699,0.0866443622115867,0.110975637788413,4
4,0.12777,0.0772882385501301,0.112434336691058,0.143105663308942,4
5,0.132,0.0686573986096064,0.118376882582699,0.145623117417301,4
6,0.16637,0.0834887828913973,0.149804014171957,0.182935985828043,4
7,0.17584,0.0964412963224968,0.156703954500393,0.194976045499607,4
8,0.16167,0.0920529113328225,0.143404705289053,0.179935294710947,4
9,0.1865,0.08364686473382,0.16990264730481,0.20309735269519,4
1,0,0,0,0,8
2,0.06434,0.0417557157522153,0.056054760097883,0.0726252399021169,8
3,0.13174,0.0782165628691948,0.116220137006012,0.147259862993988,8
4,0.16615,0.0771793627882742,0.150835940004287,0.181464059995713,8
5,0.21368,0.0831718289525554,0.197176904709789,0.230183095290211,8
6,0.2544,0.0846122468867972,0.23761109454154,0.27118890545846,8
7,0.28156,0.0947204627343324,0.262765405218043,0.300354594781957,8
8,0.30325,0.103546054263479,0.282704216386052,0.323795783613948,8
9,0.31613,0.0927668583061861,0.297723042720345,0.334536957279655,8
1,0,0,0,0,16
2,0.08816,0.0426478935972555,0.0796977326574872,0.0966222673425128,16
3,0.17057,0.0774838210548017,0.155195528878937,0.185944471121063,16
4,0.24935,0.0871855533163076,0.232050494717634,0.266649505282366,16
5,0.30399,0.0950313605866479,0.285133716339165,0.322846283660835,16
6,0.34237,0.0865147450502578,0.32520359763091,0.35953640236909,16
7,0.38753,0.0746790378009029,0.372712058726729,0.402347941273271,16
8,0.42087,0.068536601590506,0.407270851331999,0.434469148668001,16
9,0.44604,0.0750295456954974,0.431152510356117,0.460927489643883,16
1,0,0,0,0,32
2,0.10182,0.0503094223759126,0.0918375191297193,0.111802480870281,32
3,0.22402,0.0715554429386152,0.209821847714293,0.238218152285707,32
4,0.30208,0.0844075825977738,0.285331704376707,0.318828295623293,32
5,0.36126,0.0716930353181626,0.347034546401102,0.375485453598898,32
6,0.41477,0.0706962280936308,0.40074233458034,0.42879766541966,32
7,0.46133,0.0636270787598735,0.448705007174473,0.473954992825527,32
8,0.49676,0.0592207170957371,0.485009324925353,0.508510675074647,32
9,0.52494,0.0500116794439867,0.515016597786993,0.534863402213006,32
1,0,0,0,0,64
2,0.12032,0.0478545523625306,0.110824618599169,0.129815381400831,64
3,0.2622,0.0769991473126079,0.246921698664462,0.277478301335538,64
4,0.36888,0.0744130269902964,0.3541148410427,0.3836451589573,64
5,0.43456,0.0612719257808084,0.422402320620938,0.446717679379062,64
6,0.4771,0.0595514377439683,0.465283702773708,0.488916297226293,64
7,0.51465,0.0505763499248134,0.504614554912982,0.524685445087018,64
8,0.55322,0.0505112408731507,0.543197473961383,0.563242526038617,64
9,0.58131,0.0464707347899642,0.572089198027708,0.590530801972292,64
