"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.0414,0.0511993923575053,0.00477416109555688,0.0780258389044431
3,0.0906,0.0483694118219356,0.0559986072154393,0.125201392784561
4,0.09,0.0346794848097065,0.0651917910458717,0.114808208954128
5,0.1044,0.0615849909564913,0.060344751415133,0.148455248584867
6,0.1524,0.10221024084373,0.0792831983515127,0.225516801648487
7,0.1086,0.0436047907663571,0.0774070117918806,0.139792988208119
8,0.1606,0.0894976101481052,0.0965772665126827,0.224622733487317
9,0.1746,0.081698905201423,0.116156123953919,0.233043876046081
