"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.0643333333333333,0.0400532978251063,0.0222999751002985,0.106366691566368
3,0.106666666666667,0.033320664259085,0.0716987740481745,0.141634559285159
4,0.134666666666667,0.0604075050524905,0.0712728779473864,0.198060455385947
5,0.189,0.0809197132965756,0.104079968896409,0.273920031103591
6,0.209333333333333,0.104572781672224,0.0995909292834397,0.319075737383227
7,0.218,0.101915651398595,0.111046083159099,0.324953916840901
8,0.232,0.124963994814506,0.10085833013788,0.36314166986212
9,0.239,0.112114227464671,0.121343333959169,0.356656666040831
