"sigma","dist","dist_over_sigma","mean","sd","lower","upper"
1,0,0,0.4872,0.0131034346642397,0.470929936924598,0.503470063075402
1,0,0,0.4872,0.0131034346642397,0.470929936924598,0.503470063075402
1,0,0,0.4872,0.0131034346642397,0.470929936924598,0.503470063075402
1,4.66666666666667,4.66666666666667,0.0106,0.00357770876399966,0.00615768783168353,0.0150423121683165
1,7,7,2e-04,0.000447213595499958,-0.000355289021039559,0.000755289021039559
2,0,0,0.4872,0.0131034346642397,0.470929936924598,0.503470063075402
2,0,0,0.4872,0.0131034346642397,0.470929936924598,0.503470063075402
2,2.33333333333333,1.16666666666667,0.2814,0.00181659021245847,0.279144405333701,0.283655594666299
2,7,3.5,0.0382,0.00782304288624318,0.0284864092917478,0.0479135907082522
2,11.6666666666667,5.83333333333333,0.0014,0.00151657508881031,-0.000483076688348438,0.00328307668834844
3,0,0,0.487,0.0130384048104053,0.470810682152913,0.503189317847087
3,2.33333333333333,0.777777777777778,0.3538,0.00962808392152874,0.341845154822953,0.365754845177047
3,2.33333333333333,0.777777777777778,0.3538,0.00962808392152874,0.341845154822953,0.365754845177047
3,11.6666666666667,3.88888888888889,0.0276,0.00598331012066064,0.0201707392330875,0.0350292607669125
3,18.6666666666667,6.22222222222222,6e-04,0.000894427190999916,-0.000510578042079117,0.00171057804207912
