"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.075525,0.0341698017260856,0.0396659922604665,0.111384007739533
3,0.159806666666667,0.0735254986155597,0.0826463879783755,0.236966945354958
4,0.217223333333333,0.107940661044236,0.10394655663958,0.330500110027087
5,0.258103333333333,0.130977903887132,0.120650452955307,0.39555621371136
6,0.293373333333333,0.144180437877913,0.142065243248443,0.444681423418224
7,0.3201,0.163229450529002,0.148801197134227,0.491398802865773
8,0.338435,0.184291781992578,0.145032635837047,0.531837364162953
9,0.358471666666667,0.192531837098872,0.156421895000462,0.560521438332871
