"sigma","first_zero_dist_over_sigma"
0.5,6.19654913728432
1,6.18779694923731
1.5,6.18487955322164
2,6.18779694923731
2.5,6.18604651162791
3,6.18487955322164
3.5,6.18654663665917
4,6.18560890222556
4.5,6.18487955322164
5,6.18604651162791
