"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.0269,0.0222167922658934,0.022491706417614,0.031308293582386,2
3,0.08026,0.0233785795077028,0.0756211826236805,0.0848988173763195,2
4,0.05005,0.0622817603859081,0.0376919475267638,0.0624080524732362,2
5,0.09993,0.0475919641379199,0.0904867217998247,0.109373278200175,2
6,0.09486,0.0402908666994635,0.0868654179300816,0.102854582069918,2
7,0.11572,0.0803043553921548,0.0997858736744666,0.131654126325533,2
8,0.12324,0.0687040380799036,0.109607628299942,0.136872371700058,2
9,0.11907,0.063453992718498,0.106479351200212,0.131660648799788,2
1,0,0,0,0,4
2,0.04777,0.0357281698553413,0.0406807559723873,0.0548592440276127,4
3,0.10371,0.0637679339005067,0.0910570584586972,0.116362941541303,4
4,0.13355,0.0797443357920115,0.117726993712849,0.149373006287151,4
5,0.13591,0.0614044539890794,0.123726024149196,0.148093975850804,4
6,0.17015,0.0809812766737915,0.154081557806275,0.186218442193725,4
7,0.18229,0.0933107434783629,0.16377512410251,0.20080487589749,4
8,0.17286,0.0950295031274312,0.154004084899372,0.191715915100628,4
9,0.1902,0.0860703259555871,0.173121780021036,0.207278219978964,4
1,0,0,0,0,8
2,0.07639,0.0516986010790945,0.0661318759365557,0.0866481240634443,8
3,0.1424,0.07532636063199,0.127453615833269,0.157346384166731,8
4,0.18523,0.0832438131289192,0.168712621487491,0.201747378512509,8
5,0.23367,0.0952596722202798,0.214768414357796,0.252571585642204,8
6,0.27541,0.0992323154231646,0.255720155759219,0.295099844240781,8
7,0.27753,0.0887475656231787,0.259920557587846,0.295139442412154,8
8,0.29905,0.0817856739572797,0.282821947933705,0.315278052066295,8
9,0.32499,0.0941251579203741,0.306313526608365,0.343666473391635,8
1,0,0,0,0,16
2,0.08851,0.0460839144574023,0.0793659515738164,0.0976540484261836,16
3,0.18077,0.0760867201941245,0.165672744000021,0.195867255999979,16
4,0.25982,0.082317368099989,0.243486448280602,0.276153551719398,16
5,0.29811,0.0898727377456534,0.280277299027959,0.315942700972041,16
6,0.3625,0.0824457581098205,0.34614097291721,0.37885902708279,16
7,0.39915,0.0759831686572225,0.384073290871509,0.414226709128491,16
8,0.415,0.0643564882180311,0.402230276513321,0.427769723486679,16
9,0.44987,0.0646622389924379,0.437039608926367,0.462700391073633,16
1,0,0,0,0,32
2,0.11459,0.0514257521072661,0.104386015092068,0.124793984907932,32
3,0.23654,0.0815069458526218,0.220367253636719,0.252712746363281,32
4,0.29961,0.0768602161607865,0.284359265619117,0.314860734380883,32
5,0.36681,0.0753792693147409,0.351853117602749,0.381766882397251,32
6,0.42684,0.0667948343735494,0.41358645573576,0.44009354426424,32
7,0.46522,0.0593868638333394,0.453436357808033,0.477003642191967,32
8,0.51069,0.0568898803377937,0.499401813506003,0.521978186493997,32
9,0.52377,0.0544885967126808,0.512958280273454,0.534581719726546,32
1,0,0,0,0,64
2,0.13125,0.0498467094645619,0.121359331409961,0.141140668590039,64
3,0.25978,0.0727366329835096,0.24534747398328,0.27421252601672,64
4,0.36113,0.0764745491432716,0.345955790322499,0.376304209677501,64
5,0.42868,0.0632051142285691,0.416138734092072,0.441221265907928,64
6,0.47835,0.0570113182099871,0.467037717597546,0.489662282402454,64
7,0.52749,0.0492873444530371,0.517710321563761,0.53726967843624,64
8,0.55943,0.0457417553425552,0.550353843365398,0.568506156634602,64
9,0.58805,0.0453187086481439,0.579057785007635,0.597042214992365,64
