"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.102198,0.0932815265741294,-0.735903264398083,0.940299264398083
3,0.2019255,0.168357174853049,-1.31070370212502,1.71455470212502
4,0.2281925,0.284466936751005,-2.32764152337444,2.78402652337444
5,0.3042245,0.283559011643961,-2.24345213993381,2.85190113993381
6,0.33311,0.31908193501043,-2.53372744359942,3.19994744359942
7,0.3594145,0.336881934013239,-2.66734958951128,3.38617858951128
8,0.378103,0.361755829255038,-2.87214417151349,3.62835017151349
9,0.410527,0.360044630844566,-2.82434566378271,3.64539966378271
