"k","mean","sd","lower","upper"
1,0,0,0,0
2,0.0408466666666667,0.0345237904761852,0.0310351139735414,0.0506582193597919
3,0.0806466666666667,0.0542130428366223,0.0652394903656433,0.09605384296769
4,0.11204,0.0557388891544524,0.0961991829734796,0.12788081702652
5,0.136693333333333,0.0726154984300521,0.116056237019257,0.157330429647409
6,0.148746666666667,0.0828882142069774,0.125190096831387,0.172303236501946
7,0.158013333333333,0.0791886281031669,0.135508174235393,0.180518492431274
8,0.14276,0.114791895705785,0.110136504204022,0.175383495795978
9,0.1506,0.0764949274324938,0.128860382162311,0.172339617837689
