"sigma","first_zero_dist_over_sigma"
0.5,5.65656565656566
1,5.65656565656566
1.5,5.42087542087542
2,5.47979797979798
2.5,5.51515151515151
3,5.42087542087542
3.5,5.45454545454545
4,5.47979797979798
4.5,5.42087542087542
5,5.44444444444444
