"k","mean","sd","lower","upper","d"
1,0,0,0,0,2
2,0.03073,0.0255310684176251,0.0256640821253636,0.0357959178746364,2
3,0.08108,0.0245207312824529,0.0762145549324062,0.0859454450675938,2
4,0.05397,0.0605529161689646,0.0419549877269549,0.0659850122730451,2
5,0.0996,0.0454537171641705,0.0905809963890238,0.108619003610976,2
6,0.09684,0.042864296084129,0.0883347937092052,0.105345206290795,2
7,0.11314,0.081824278336277,0.0969042879873834,0.129375712012617,2
8,0.12542,0.0687814838837643,0.111772261372257,0.139067738627743,2
9,0.12794,0.0804060176651454,0.111985701673926,0.143894298326074,2
1,0,0,0,0,4
2,0.04911,0.0304935479183132,0.043059418530647,0.055160581469353,4
3,0.10392,0.0720744116041249,0.0896188730719479,0.118221126928052,4
4,0.1271,0.0783896638208086,0.111545790021759,0.142654209978241,4
5,0.13442,0.062610255073782,0.121996767053945,0.146843232946055,4
6,0.1713,0.0897458251469846,0.153492481240924,0.189107518759076,4
7,0.1795,0.0913122625550878,0.161381666075049,0.197618333924951,4
8,0.18375,0.0929943383744245,0.16529790573959,0.20220209426041,4
9,0.19549,0.0926043495498756,0.17711528798325,0.21386471201675,4
1,0,0,0,0,8
2,0.06506,0.0422729992388341,0.0566721198315906,0.0734478801684094,8
3,0.12821,0.0692314658127781,0.114472975195111,0.141947024804889,8
4,0.16828,0.0730663293511347,0.153782055071128,0.182777944928872,8
5,0.2329,0.0861337344019183,0.215809198409627,0.249990801590373,8
6,0.27411,0.0884011626368995,0.256569291455592,0.291650708544408,8
7,0.26706,0.0953772753147449,0.248135079352436,0.285984920647564,8
8,0.31096,0.0908400659167395,0.292935360132478,0.328984639867522,8
9,0.3184,0.0870817565465484,0.301121090248642,0.335678909751358,8
1,0,0,0,0,16
2,0.08054,0.0421161021535239,0.0721832516172233,0.0888967483827767,16
3,0.16072,0.0721103363330154,0.146411744826343,0.175028255173657,16
4,0.23439,0.0879624454990982,0.216936342453769,0.251843657546231,16
5,0.29221,0.0904747629301825,0.274257844170317,0.310162155829683,16
6,0.34997,0.0868315977259221,0.332740727185889,0.367199272814111,16
7,0.38069,0.0759289533682373,0.365624048361053,0.395755951638947,16
8,0.4185,0.0742974502329058,0.403757773978822,0.433242226021178,16
9,0.4425,0.0717977659256832,0.428253765576423,0.456746234423577,16
1,0,0,0,0,32
2,0.10979,0.0565628808932987,0.0985666972900953,0.121013302709905,32
3,0.21025,0.0851427055186192,0.193355840040603,0.227144159959397,32
4,0.30517,0.0799554238183989,0.289305109268826,0.321034890731174,32
5,0.38026,0.0727705151746769,0.365820751021473,0.394699248978527,32
6,0.4239,0.0734939700680514,0.409317201875159,0.438482798124841,32
7,0.46573,0.0683403329748335,0.452169795283427,0.479290204716572,32
8,0.49417,0.0552880528494067,0.4831996508316,0.5051403491684,32
9,0.52941,0.0490773652285631,0.519671985997429,0.539148014002571,32
1,0,0,0,0,64
2,0.13442,0.0603819793841129,0.12243890529357,0.14640109470643,64
3,0.25023,0.0694619807353402,0.236447236033417,0.264012763966583,64
4,0.36031,0.0748441741489637,0.345459292092614,0.375160707907386,64
5,0.42665,0.0701981862553111,0.412721156886159,0.440578843113841,64
6,0.48751,0.0597962018658021,0.475645136261739,0.499374863738261,64
7,0.53379,0.047892829644041,0.524287023556085,0.543292976443915,64
8,0.56153,0.0483517112396033,0.551935971492017,0.571124028507983,64
9,0.58647,0.0427764815492973,0.577982218018066,0.594957781981934,64
